x-axis,1,2,REF1
second,Volt,Volt,Volt
-960.6250E-06,+11.4321607E-03,+63.9447229E-03,+0.0E+00
-960.5000E-06,+11.6834170E-03,+64.3216074E-03,+0.0E+00
-960.3750E-06,+11.4321607E-03,+63.1909541E-03,+0.0E+00
-960.2500E-06,+10.6783918E-03,+61.9346727E-03,+0.0E+00
-960.1250E-06,+10.9296481E-03,+62.4371853E-03,+0.0E+00
-960.0000E-06,+10.8040200E-03,+62.9396978E-03,+0.0E+00
-959.8750E-06,+11.6834170E-03,+64.4472355E-03,+0.0E+00
-959.7500E-06,+11.8090451E-03,+64.4472355E-03,+0.0E+00
-959.6250E-06,+11.8090451E-03,+63.0653260E-03,+0.0E+00
-959.5000E-06,+11.5577888E-03,+62.5628134E-03,+0.0E+00
-959.3750E-06,+10.6783918E-03,+63.0653260E-03,+0.0E+00
-959.2500E-06,+11.4321607E-03,+63.4422104E-03,+0.0E+00
-959.1250E-06,+12.4371858E-03,+64.0703511E-03,+0.0E+00
-959.0000E-06,+11.9346732E-03,+63.1909541E-03,+0.0E+00
-958.8750E-06,+11.9346732E-03,+63.0653260E-03,+0.0E+00
-958.7500E-06,+11.6834170E-03,+63.1909541E-03,+0.0E+00
-958.6250E-06,+11.8090451E-03,+62.4371853E-03,+0.0E+00
-958.5000E-06,+11.1809044E-03,+62.9396978E-03,+0.0E+00
-958.3750E-06,+12.0603014E-03,+63.8190948E-03,+0.0E+00
-958.2500E-06,+12.8140702E-03,+64.1959792E-03,+0.0E+00
-958.1250E-06,+12.6884421E-03,+63.1909541E-03,+0.0E+00
-958.0000E-06,+12.6884421E-03,+62.9396978E-03,+0.0E+00
-957.8750E-06,+12.8140702E-03,+62.1859290E-03,+0.0E+00
-957.7500E-06,+12.9396984E-03,+63.1909541E-03,+0.0E+00
-957.6250E-06,+12.9396984E-03,+64.5728636E-03,+0.0E+00
-957.5000E-06,+13.5678391E-03,+63.8190948E-03,+0.0E+00
-957.3750E-06,+13.3165828E-03,+63.0653260E-03,+0.0E+00
-957.2500E-06,+12.4371858E-03,+63.3165822E-03,+0.0E+00
-957.1250E-06,+13.3165828E-03,+62.9396978E-03,+0.0E+00
-957.0000E-06,+13.5678391E-03,+63.8190948E-03,+0.0E+00
-956.8750E-06,+13.6934672E-03,+64.3216074E-03,+0.0E+00
-956.7500E-06,+13.1909546E-03,+63.1909541E-03,+0.0E+00
-956.6250E-06,+13.1909546E-03,+62.9396978E-03,+0.0E+00
-956.5000E-06,+14.0703516E-03,+62.4371853E-03,+0.0E+00
-956.3750E-06,+13.8190953E-03,+63.9447229E-03,+0.0E+00
-956.2500E-06,+14.3216079E-03,+64.9497480E-03,+0.0E+00
-956.1250E-06,+14.0703516E-03,+63.8190948E-03,+0.0E+00
-956.0000E-06,+13.5678391E-03,+63.0653260E-03,+0.0E+00
-955.8750E-06,+13.1909546E-03,+63.0653260E-03,+0.0E+00
-955.7500E-06,+13.6934672E-03,+62.3115571E-03,+0.0E+00
-955.6250E-06,+13.8190953E-03,+63.0653260E-03,+0.0E+00
-955.5000E-06,+14.0703516E-03,+64.4472355E-03,+0.0E+00
-955.3750E-06,+14.3216079E-03,+64.1959792E-03,+0.0E+00
-955.2500E-06,+14.5728642E-03,+63.0653260E-03,+0.0E+00
-955.1250E-06,+14.3216079E-03,+63.0653260E-03,+0.0E+00
-955.0000E-06,+13.5678391E-03,+62.4371853E-03,+0.0E+00
-954.8750E-06,+14.8241204E-03,+62.4371853E-03,+0.0E+00
-954.7500E-06,+14.4472360E-03,+63.9447229E-03,+0.0E+00
-954.6250E-06,+15.2010049E-03,+63.5678385E-03,+0.0E+00
-954.5000E-06,+15.4522611E-03,+63.1909541E-03,+0.0E+00
-954.3750E-06,+14.4472360E-03,+63.9447229E-03,+0.0E+00
-954.2500E-06,+15.2010049E-03,+62.8140697E-03,+0.0E+00
-954.1250E-06,+14.6984923E-03,+62.3115571E-03,+0.0E+00
-954.0000E-06,+14.9497486E-03,+63.1909541E-03,+0.0E+00
-953.8750E-06,+14.8241204E-03,+63.4422104E-03,+0.0E+00
-953.7500E-06,+15.7035174E-03,+65.2010043E-03,+0.0E+00
-953.6250E-06,+14.8241204E-03,+63.0653260E-03,+0.0E+00
-953.5000E-06,+15.4522611E-03,+63.0653260E-03,+0.0E+00
-953.3750E-06,+15.7035174E-03,+63.3165822E-03,+0.0E+00
-953.2500E-06,+15.9547737E-03,+64.3216074E-03,+0.0E+00
