Freq.,Vu_out/Vu_in
2.02301917867824e+000,-7.22563194070780e+000,1.64136678888094e+002
2.02768271952125e+000,-7.18622438074965e+000,1.64138391086957e+002
2.03235701093619e+000,-7.14681570685096e+000,1.64140022098458e+002
2.03704207770568e+000,-7.10740593090474e+000,1.64141571917655e+002
2.04173794466950e+000,-7.06799506489313e+000,1.64143040539657e+002
2.04644463672464e+000,-7.02858312065253e+000,1.64144427959093e+002
2.05116217882553e+000,-6.98917011012449e+000,1.64145734170384e+002
2.05589059598411e+000,-6.94975604507763e+000,1.64146959167361e+002
2.06062991326997e+000,-6.91034093744827e+000,1.64148102944071e+002
2.06538015581049e+000,-6.87092479901971e+000,1.64149165493826e+002
2.07014134879101e+000,-6.83150764168029e+000,1.64150146809701e+002
2.07491351745488e+000,-6.79208947716322e+000,1.64151046884705e+002
2.07969668710366e+000,-6.75267031722542e+000,1.64151865711313e+002
2.08449088309725e+000,-6.71325017367714e+000,1.64152603281651e+002
2.08929613085400e+000,-6.67382905827319e+000,1.64153259587836e+002
2.09411245585086e+000,-6.63440698266839e+000,1.64153834621366e+002
2.09893988362349e+000,-6.59498395870075e+000,1.64154328373625e+002
2.10377843976644e+000,-6.55555999792231e+000,1.64154740835579e+002
2.10862814993325e+000,-6.51613511203915e+000,1.64155071997924e+002
2.11348903983661e+000,-6.47670931281158e+000,1.64155321850984e+002
2.11836113524847e+000,-6.43728261179969e+000,1.64155490385048e+002
2.12324446200018e+000,-6.39785502077631e+000,1.64155577589689e+002
2.12813904598267e+000,-6.35842655114671e+000,1.64155583454487e+002
2.13304491314654e+000,-6.31899721463627e+000,1.64155507968635e+002
2.13796208950219e+000,-6.27956702277910e+000,1.64155351120779e+002
2.14289060112002e+000,-6.24013598717293e+000,1.64155112899455e+002
2.14783047413050e+000,-6.20070411943275e+000,1.64154793293126e+002
2.15278173472433e+000,-6.16127143102707e+000,1.64154392289585e+002
2.15774440915263e+000,-6.12183793355774e+000,1.64153909876407e+002
2.16271852372698e+000,-6.08240363844064e+000,1.64153346040758e+002
2.16770410481966e+000,-6.04296855723113e+000,1.64152700769753e+002
2.17270117886371e+000,-6.00353270151099e+000,1.64151974049946e+002
2.17770977235312e+000,-5.96409608261415e+000,1.64151165867786e+002
2.18272991184296e+000,-5.92465871199998e+000,1.64150276209215e+002
2.18776162394951e+000,-5.88522060131247e+000,1.64149305060013e+002
2.19280493535041e+000,-5.84578176178715e+000,1.64148252405338e+002
2.19785987278478e+000,-5.80634220490251e+000,1.64147118230480e+002
2.20292646305342e+000,-5.76690194211582e+000,1.64145902520134e+002
