  Time                  V(R3:1)               V(V5:+)               V(U1:OUT)            
  5.760493606567e-003  -9.956543779151e-002  1.053849599626e-001  -3.557569258432e-002  
  5.776713699341e-003  -9.718934227015e-002  1.331968175916e-001  -2.786333552180e-001  
  5.801713699341e-003  -8.953482227290e-002  2.053811448646e-001  -1.033517240043e+000  
  5.826713699341e-003  -7.721332592128e-002  2.744132704570e-001  -1.869096500390e+000  
  5.851713699341e-003  -6.052824934817e-002  2.998551114363e-001  -2.361205715322e+000  
  5.876713699341e-003  -3.989043451339e-002  2.668031824084e-001  -2.312081864489e+000  
  5.901713699341e-003  -1.580805291116e-002  1.946188551354e-001  -1.863433403181e+000  
  5.926713699341e-003  1.112590729864e-002  1.255867295430e-001  -1.410779533688e+000  
  5.951713699341e-003  4.024824262695e-002  1.001448885637e-001  -1.368406709020e+000  
  5.976713699341e-003  7.084186452649e-002  1.331968175916e-001  -1.923031212035e+000  
  6.001713699341e-003  1.021534564917e-001  2.053811448646e-001  -2.920439552413e+000  
  6.026713699341e-003  1.334120232112e-001  2.744132704570e-001  -3.951953269177e+000  
  6.051713699341e-003  1.638478750310e-001  2.998551114363e-001  -4.588874849663e+000  
  6.076713699341e-003  1.927115802687e-001  2.668031824084e-001  -4.629564176975e+000  
  6.101713699341e-003  2.192924187080e-001  1.946188551354e-001  -4.213700377450e+000  
  6.126713699341e-003  2.429358818899e-001  1.255867295430e-001  -3.735940754232e+000  
  6.151713699341e-003  2.630597892827e-001  1.001448885637e-001  -3.611217331354e+000  
  6.176713699341e-003  2.791686234990e-001  1.331968175916e-001  -4.028300172818e+000  
  6.201713699341e-003  2.908657315781e-001  2.053811448645e-001  -4.836368784657e+000  
  6.226713699341e-003  2.978630918987e-001  2.744132704570e-001  -5.631275403309e+000  
  6.251713699341e-003  2.999884062268e-001  2.998551114363e-001  -5.990169180660e+000  
  6.276713699341e-003  2.971893422702e-001  2.668031824084e-001  -5.718418756833e+000  
  6.301713699341e-003  2.895348222729e-001  1.946188551355e-001  -4.963379310971e+000  
  6.326713699341e-003  2.772133259213e-001  1.255867295430e-001  -4.127889407525e+000  
  6.351713699341e-003  2.605282493482e-001  1.001448885637e-001  -3.635730913059e+000  
  6.376713699341e-003  2.398904345134e-001  1.331968175916e-001  -3.684883841407e+000  
  6.401713699341e-003  2.158080529112e-001  2.053811448645e-001  -4.133515421862e+000  
